#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_14_length_87081_cov_92.841307_35 -            623 182107at2            -            492  6.7e-219  726.0   1.1   1   1  1.1e-220  6.9e-218  722.6   1.1     1   492    19   612    19   612 0.89 # 45599 # 47467 # -1 # ID=14_35;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.672
NODE_25_length_65002_cov_94.531977_9  -            632 182107at2            -            492   1.2e-22   78.6   0.0   2   2    0.0097       5.9    3.8   0.0   136   201   231   302   219   456 0.63 # 7733 # 9628 # 1 # ID=25_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.757
NODE_26_length_64407_cov_80.625591_44 -            398 182107at2            -            492   7.6e-16   56.3   0.8   1   1   2.3e-18   1.4e-15   55.4   0.8     3   204    14   255    13   280 0.73 # 45493 # 46686 # 1 # ID=26_44;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.647
NODE_29_length_58506_cov_98.491958_19 -            390 182107at2            -            492   1.1e-15   55.7   0.2   1   1     3e-18   1.8e-15   55.0   0.2     3   205    14   253    13   274 0.75 # 15764 # 16933 # -1 # ID=29_19;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.728
NODE_119_length_22769_cov_76.329874_7 -            733 182107at2            -            492   1.7e-14   51.8   0.0   1   4   3.3e-10     2e-07   28.5   0.0    28   129    67   170    24   177 0.82 # 5355 # 7553 # 1 # ID=119_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.727
NODE_119_length_22769_cov_76.329874_7 -            733 182107at2            -            492   1.7e-14   51.8   0.0   2   4   2.9e-05     0.018   12.2   0.0   155   202   329   376   325   385 0.90 # 5355 # 7553 # 1 # ID=119_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.727
NODE_119_length_22769_cov_76.329874_7 -            733 182107at2            -            492   1.7e-14   51.8   0.0   3   4       1.1   6.9e+02   -3.0   0.0   249   304   458   510   451   515 0.73 # 5355 # 7553 # 1 # ID=119_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.727
NODE_119_length_22769_cov_76.329874_7 -            733 182107at2            -            492   1.7e-14   51.8   0.0   4   4    0.0017         1    6.4   0.0   320   351   635   666   620   672 0.87 # 5355 # 7553 # 1 # ID=119_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.727
NODE_27_length_63206_cov_88.069595_26 -            493 182107at2            -            492   1.9e-11   41.8   0.0   1   2   1.6e-07    0.0001   19.6   0.0     8   159    60   217    55   224 0.78 # 19540 # 21018 # -1 # ID=27_26;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.717
NODE_27_length_63206_cov_88.069595_26 -            493 182107at2            -            492   1.9e-11   41.8   0.0   2   2   1.3e-07   7.7e-05   20.0   0.1    68   155   307   398   294   412 0.82 # 19540 # 21018 # -1 # ID=27_26;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.717
NODE_4_length_123048_cov_95.834902_51 -            452 182107at2            -            492   9.4e-10   36.1   0.2   1   2     0.051        31    1.5   0.0     4    24    24    44    22    61 0.73 # 55244 # 56599 # -1 # ID=4_51;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.719
NODE_4_length_123048_cov_95.834902_51 -            452 182107at2            -            492   9.4e-10   36.1   0.2   2   2   2.1e-11   1.3e-08   32.4   0.1    27   115    74   167    70   206 0.78 # 55244 # 56599 # -1 # ID=4_51;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.719
NODE_90_length_28598_cov_87.644902_16 -            498 182107at2            -            492   0.00062   17.0   0.0   1   1   1.7e-06     0.001   16.3   0.0     9   166   282   447   275   451 0.66 # 19724 # 21217 # -1 # ID=90_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.704
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco-results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco-results/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco-results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/users/ntm1021/gen-711-final-project/69_assembly_output
# Date:            Fri May  3 15:32:09 2024
# [ok]
