#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_34_length_74114_cov_65.743874_37  -            697 219876at2            -            282   2.6e-97  324.6   0.0   1   1  8.4e-100   4.9e-97  323.6   0.0    13   276   351   671   346   675 0.86 # 41047 # 43137 # 1 # ID=34_37;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.689
NODE_138_length_19977_cov_56.091083_13 -            841 219876at2            -            282     0.023   13.0   0.0   3   3       2.4   1.4e+03   -2.6   0.0    95   114   638   657   628   660 0.78 # 13066 # 15588 # 1 # ID=138_13;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.746
NODE_58_length_47128_cov_60.388460_3   -            327 219876at2            -            282     0.028   12.7   0.0   1   2   0.00018      0.11   10.8   0.0    47    72    68    93    52    97 0.79 # 8940 # 9920 # -1 # ID=58_3;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.736
NODE_58_length_47128_cov_60.388460_3   -            327 219876at2            -            282     0.028   12.7   0.0   2   2         1   6.1e+02   -1.5   0.0   143   164   244   265   240   276 0.85 # 8940 # 9920 # -1 # ID=58_3;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.736
NODE_124_length_22366_cov_58.722290_6  -            232 219876at2            -            282     0.029   12.7   0.1   1   1   7.5e-05     0.044   12.1   0.1    43    68    23    48    14    51 0.85 # 4813 # 5508 # 1 # ID=124_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.730
NODE_83_length_38306_cov_61.714503_9   -            157 219876at2            -            282     0.035   12.4   0.0   1   1   7.3e-05     0.043   12.1   0.0    43    74    25    54     4    68 0.83 # 7133 # 7603 # 1 # ID=83_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.745
NODE_74_length_40820_cov_66.584474_5   -            239 219876at2            -            282      0.05   11.9   0.0   1   1   0.00014     0.081   11.2   0.0    27    71    19    62     7    65 0.81 # 4671 # 5387 # 1 # ID=74_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.667
NODE_197_length_8436_cov_65.593453_2   -            457 219876at2            -            282     0.056   11.8   0.1   1   1   0.00017       0.1   10.9   0.1    50    70   213   233   200   242 0.84 # 563 # 1933 # -1 # ID=197_2;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.712
NODE_94_length_33179_cov_58.991559_17  -            402 219876at2            -            282     0.084   11.2   0.0   1   1   0.00024      0.14   10.5   0.0    49    73    97   121    59   128 0.88 # 18194 # 19399 # 1 # ID=94_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.735
NODE_25_length_88126_cov_59.419221_16  -            512 219876at2            -            282     0.089   11.1   0.0   1   2   0.00037      0.21    9.8   0.0    49   108   281   344   265   349 0.77 # 15195 # 16730 # 1 # ID=25_16;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.739
NODE_25_length_88126_cov_59.419221_16  -            512 219876at2            -            282     0.089   11.1   0.0   2   2       4.9   2.9e+03   -3.7   0.0   133   164   384   416   371   421 0.71 # 15195 # 16730 # 1 # ID=25_16;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.739
NODE_4_length_180575_cov_64.125859_133 -            350 219876at2            -            282      0.14   10.4   0.0   1   1   0.00037      0.22    9.8   0.0    50    69    80    99    75   103 0.87 # 135699 # 136748 # 1 # ID=4_133;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.765
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/users/ntm1021/gen-711-final-project/15_assembly_output/busco_downloads/lineages/bacteria_odb10/hmms/219876at2.hmm
# Target file:     /home/users/ntm1021/gen-711-final-project/15_assembly_output/busco-results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/users/ntm1021/gen-711-final-project/15_assembly_output/busco-results/run_bacteria_odb10/hmmer_output/219876at2.out --cpu 1 /home/users/ntm1021/gen-711-final-project/15_assembly_output/busco_downloads/lineages/bacteria_odb10/hmms/219876at2.hmm /home/users/ntm1021/gen-711-final-project/15_assembly_output/busco-results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/users/ntm1021/gen-711-final-project/15_assembly_output
# Date:            Fri May  3 15:54:13 2024
# [ok]
