#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_52_length_53648_cov_61.631229_40  -            417 932854at2            -           1620  4.3e-176  586.8   0.0   1   1  6.1e-179  4.8e-176  586.7   0.0     2   417     1   414     1   416 0.98 # 38907 # 40157 # -1 # ID=52_40;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.756
NODE_39_length_67018_cov_59.855317_52  -            593 932854at2            -           1620    0.0017   14.7   0.3   1   1   2.7e-06    0.0022   14.4   0.3    77   186    89   203    42   279 0.83 # 55104 # 56882 # -1 # ID=39_52;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.721
NODE_39_length_67018_cov_59.855317_2   -            393 932854at2            -           1620    0.0021   14.4   1.5   1   1   4.7e-06    0.0038   13.6   1.5   106   183     8    96     6    99 0.87 # 1354 # 2532 # 1 # ID=39_2;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.702
NODE_34_length_74114_cov_65.743874_23  -            314 932854at2            -           1620     0.008   12.5   0.0   1   1   1.3e-05      0.01   12.2   0.0    78   206    73   206    70   208 0.83 # 28445 # 29386 # 1 # ID=34_23;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.732
NODE_15_length_105784_cov_60.956302_29 -           1819 932854at2            -           1620     0.037   10.3   0.5   1   1   6.7e-05     0.053    9.8   0.5    82   187   100   210    95   230 0.84 # 28256 # 33712 # -1 # ID=15_29;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.740
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/users/ntm1021/gen-711-final-project/15_assembly_output/busco_downloads/lineages/bacteria_odb10/hmms/932854at2.hmm
# Target file:     /home/users/ntm1021/gen-711-final-project/15_assembly_output/busco-results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/users/ntm1021/gen-711-final-project/15_assembly_output/busco-results/run_bacteria_odb10/hmmer_output/932854at2.out --cpu 1 /home/users/ntm1021/gen-711-final-project/15_assembly_output/busco_downloads/lineages/bacteria_odb10/hmms/932854at2.hmm /home/users/ntm1021/gen-711-final-project/15_assembly_output/busco-results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/users/ntm1021/gen-711-final-project/15_assembly_output
# Date:            Fri May  3 15:54:21 2024
# [ok]
